ID,Section,Requirement Statement,Type,Priority,Verification Methods (from SRS),Primary Method (select),Acceptance Criteria,Agent Procedure (step-by-step),Evidence to Collect,Owner/Role,Phase/Gate,Status,Date Last Updated,Test Case ID / Link,Upstream Trace,Downstream Trace,Notes,Rationale,Risk,Assumptions,Constraints,Version & Change Notes,Verification Detail,Verification Level
OLLAMA-AGENT-011,10.3 Ollama Executor Security Guardrails,The ollama-executor agent SHALL document path traversal prevention (../ patterns rejected).,Quality (non-functional),High,"Inspection, Test",Test,Agent documentation includes path traversal prevention with test validation showing ../ rejection. Test suite includes path traversal test cases that pass.,Review agent markdown for path traversal section; run Test-CommandVetting.ps1 to confirm ../ rejection.,Agent markdown excerpt plus test output showing path traversal rejection.,Automation QA (Agent),CI Integration,Completed,2025-12-03,ADR-2025-022-ollama-executor-custom-agent.md; .github/agents/ollama-executor.agent.md; scripts/ollama-executor/Test-CommandVetting.ps1,ADR-2025-022-ollama-executor-custom-agent.md; .github/agents/ollama-executor.agent.md,Drive-Ollama-Executor.ps1 Test-CommandAllowed function,Documents path traversal protection.,Prevents directory escape attacks via command parameters.,Risk: path traversal allows file system access outside repo; mitigated by pattern rejection.,Assumes ../ pattern detection is implemented in Test-CommandAllowed.,Regex patterns SHALL catch both ../ and ..\\ variants.,1 | hash=agent-path-011 | Baseline 2025-12-03,Inspection + Test: verify agent documents path traversal prevention and test suite validates it.,System
OLLAMA-AGENT-012,10.3 Ollama Executor Security Guardrails,The ollama-executor agent SHALL document command chaining prevention (semicolons and pipes rejected).,Quality (non-functional),High,"Inspection, Test",Test,Agent documentation includes command chaining prevention with test validation showing ; and | rejection. Test suite includes chaining test cases that pass.,Review agent markdown for command chaining section; run Test-CommandVetting.ps1 to confirm rejection.,Agent markdown excerpt plus test output showing command chaining rejection.,Automation QA (Agent),CI Integration,Completed,2025-12-03,ADR-2025-022-ollama-executor-custom-agent.md; .github/agents/ollama-executor.agent.md; scripts/ollama-executor/Test-CommandVetting.ps1,ADR-2025-022-ollama-executor-custom-agent.md; .github/agents/ollama-executor.agent.md,Drive-Ollama-Executor.ps1 Test-CommandAllowed function,Documents command chaining protection.,Prevents command injection via chaining operators.,Risk: command chaining allows arbitrary code execution; mitigated by character rejection.,Assumes chaining character detection is implemented in Test-CommandAllowed.,Pattern SHALL detect semicolon and pipe characters plus backticks.,1 | hash=agent-chain-012 | Baseline 2025-12-03,Inspection + Test: verify agent documents command chaining prevention and test suite validates it.,System
OLLAMA-AGENT-013,10.3 Ollama Executor Security Guardrails,The ollama-executor agent SHALL document network tool blocking (wget/curl/nc rejected).,Quality (non-functional),High,"Inspection, Test",Test,Agent documentation includes network tool blocking with test validation showing wget/curl rejection. Test suite includes network tool test cases that pass.,Review agent markdown for network tools section; run Test-CommandVetting.ps1 to confirm rejection.,Agent markdown excerpt plus test output showing network tool rejection.,Automation QA (Agent),CI Integration,Completed,2025-12-03,ADR-2025-022-ollama-executor-custom-agent.md; .github/agents/ollama-executor.agent.md; scripts/ollama-executor/Test-CommandVetting.ps1,ADR-2025-022-ollama-executor-custom-agent.md; .github/agents/ollama-executor.agent.md,Drive-Ollama-Executor.ps1 Test-CommandAllowed function,Documents network tool blocking.,Prevents data exfiltration via network commands.,Risk: network tools enable data exfiltration; mitigated by tool name blocking.,Assumes forbidden token list includes network tool names.,Pattern SHALL include wget/curl/nc/telnet/Invoke-WebRequest.,1 | hash=agent-net-013 | Baseline 2025-12-03,Inspection + Test: verify agent documents network tool blocking and test suite validates it.,System
OLLAMA-AGENT-014,10.3 Ollama Executor Security Guardrails,The ollama-executor agent SHALL document privilege escalation prevention (sudo/runas rejected).,Quality (non-functional),High,"Inspection, Test",Test,Agent documentation includes privilege escalation prevention with test validation showing sudo/runas rejection. Test suite includes privilege test cases that pass.,Review agent markdown for privilege escalation section; run Test-CommandVetting.ps1 to confirm rejection.,Agent markdown excerpt plus test output showing privilege escalation rejection.,Automation QA (Agent),CI Integration,Completed,2025-12-03,ADR-2025-022-ollama-executor-custom-agent.md; .github/agents/ollama-executor.agent.md; scripts/ollama-executor/Test-CommandVetting.ps1,ADR-2025-022-ollama-executor-custom-agent.md; .github/agents/ollama-executor.agent.md,Drive-Ollama-Executor.ps1 Test-CommandAllowed function,Documents privilege escalation protection.,Prevents elevation of privileges via command parameters.,Risk: privilege escalation compromises host security; mitigated by keyword blocking.,Assumes forbidden token list includes privilege elevation commands.,Pattern SHALL include sudo/runas/ExecutionPolicy Bypass.,1 | hash=agent-priv-014 | Baseline 2025-12-03,Inspection + Test: verify agent documents privilege escalation prevention and test suite validates it.,System
OLLAMA-AGENT-015,10.3 Ollama Executor Security Guardrails,The ollama-executor agent SHALL document timeout enforcement for commands with configurable CommandTimeoutSec.,Quality (non-functional),High,Inspection,Inspection,Agent documentation includes timeout enforcement with CommandTimeoutSec parameter description.,Review agent markdown for timeout section describing configurable timeout.,Agent markdown excerpt showing timeout configuration documentation.,Automation QA (Agent),CI Integration,Completed,2025-12-03,ADR-2025-022-ollama-executor-custom-agent.md; .github/agents/ollama-executor.agent.md,ADR-2025-022-ollama-executor-custom-agent.md; .github/agents/ollama-executor.agent.md,Drive-Ollama-Executor.ps1 -CommandTimeoutSec parameter,Documents command timeout protection.,Prevents hung commands from blocking workflow indefinitely.,Risk: hung commands block builds; mitigated by configurable timeout.,Assumes timeout enforcement is implemented in executor.,Default timeout SHALL be reasonable (e.g. 600s) for build operations.,1 | hash=agent-timeout-015 | Baseline 2025-12-03,Inspection: verify agent documents CommandTimeoutSec timeout enforcement.,System
OLLAMA-AGENT-016,10.4 Ollama Executor Workflow Guidelines,The ollama-executor agent SHALL document workflow guidelines for verifying prerequisites before execution.,Process,Medium,Inspection,Inspection,Agent documentation includes workflow guidelines section with prerequisite verification steps.,Review agent markdown for workflow guidelines with prereq verification.,Agent markdown excerpt showing prerequisite verification steps.,Automation QA (Agent),CI Integration,Completed,2025-12-03,ADR-2025-022-ollama-executor-custom-agent.md; .github/agents/ollama-executor.agent.md,ADR-2025-022-ollama-executor-custom-agent.md; .github/agents/ollama-executor.agent.md,check-ollama-endpoint.ps1,Documents prerequisite verification workflow.,Prevents execution failures due to missing dependencies.,Risk: builds fail due to missing prereqs; mitigated by verification steps.,Assumes check-ollama-endpoint.ps1 can validate Ollama availability.,Prereq checks SHALL complete before build execution.,1 | hash=agent-prereq-016 | Baseline 2025-12-03,Inspection: verify agent documents prerequisite verification steps.,System
OLLAMA-AGENT-017,10.4 Ollama Executor Workflow Guidelines,The ollama-executor agent SHALL document mode selection guidance for simulation vs real execution.,Process,Medium,Inspection,Inspection,Agent documentation includes mode selection guidance describing when to use simulation vs real mode.,Review agent markdown for mode selection guidance section.,Agent markdown excerpt showing mode selection guidance.,Automation QA (Agent),CI Integration,Completed,2025-12-03,ADR-2025-022-ollama-executor-custom-agent.md; .github/agents/ollama-executor.agent.md,ADR-2025-022-ollama-executor-custom-agent.md; .github/agents/ollama-executor.agent.md,OLLAMA_EXECUTOR_MODE environment variable,Documents mode selection for different use cases.,Helps users choose correct mode for their context.,Risk: wrong mode causes build failures or unintended actions; mitigated by clear guidance.,Assumes simulation mode works without LabVIEW installation.,Real mode requires Windows runner with LabVIEW installed.,1 | hash=agent-mode-017 | Baseline 2025-12-03,Inspection: verify agent documents simulation vs real mode selection.,System
OLLAMA-AGENT-018,10.4 Ollama Executor Workflow Guidelines,The ollama-executor agent SHALL document failure handling procedures including log locations for diagnostics.,Process,Medium,Inspection,Inspection,Agent documentation includes failure handling section with log file locations.,Review agent markdown for failure handling with log path references.,Agent markdown excerpt showing failure handling and log paths.,Automation QA (Agent),CI Integration,Completed,2025-12-03,ADR-2025-022-ollama-executor-custom-agent.md; .github/agents/ollama-executor.agent.md,ADR-2025-022-ollama-executor-custom-agent.md; .github/agents/ollama-executor.agent.md,reports/logs/ollama-host-*.fail.json,Documents failure handling for troubleshooting.,Enables users to diagnose and resolve execution failures.,Risk: failures go undiagnosed; mitigated by log location documentation.,Assumes logs are written under reports/logs/ directory.,Fail files SHALL include detection_point and error fields.,1 | hash=agent-fail-018 | Baseline 2025-12-03,Inspection: verify agent documents failure handling and log locations.,System
OLLAMA-AGENT-019,10.5 Ollama Executor Artifacts,The ollama-executor agent SHALL document artifact locations including artifacts/ staging and builds-isolated/ run-scoped outputs.,Interface,High,Inspection,Inspection,Agent documentation includes artifact locations section listing all output directories.,Review agent markdown for artifacts section with directory paths.,Agent markdown excerpt showing artifact location documentation.,Automation QA (Agent),CI Integration,Completed,2025-12-03,ADR-2025-022-ollama-executor-custom-agent.md; .github/agents/ollama-executor.agent.md,ADR-2025-022-ollama-executor-custom-agent.md; .github/agents/ollama-executor.agent.md,Run-Ollama-Host.ps1 artifact staging,Documents artifact locations for downstream consumption.,Enables users to locate and consume build outputs.,Risk: artifacts not found; mitigated by clear path documentation.,Assumes artifact paths follow run-key scoped pattern.,artifacts/ and builds-isolated/<runKey>/ are primary output roots.,1 | hash=agent-art-019 | Baseline 2025-12-03,Inspection: verify agent documents artifacts/ and builds-isolated/ locations.,System
OLLAMA-AGENT-020,10.5 Ollama Executor Artifacts,The ollama-executor agent SHALL document the handshake JSON artifact at artifacts/labview-icon-api-handshake.json.,Interface,High,Inspection,Inspection,Agent documentation includes handshake JSON artifact description with path and purpose.,Review agent markdown for handshake artifact documentation.,Agent markdown excerpt showing handshake artifact documentation.,Automation QA (Agent),CI Integration,Completed,2025-12-03,ADR-2025-022-ollama-executor-custom-agent.md; .github/agents/ollama-executor.agent.md,ADR-2025-022-ollama-executor-custom-agent.md; .github/agents/ollama-executor.agent.md,Run-Ollama-Host.ps1 handshake generation,Documents handshake JSON for downstream consumers.,Enables downstream workflows to consume build outputs with verification.,Risk: handshake missing breaks downstream flows; mitigated by documentation.,Assumes handshake JSON is generated on successful runs.,Handshake SHALL include zipRelPath and sha256 fields.,1 | hash=agent-hand-020 | Baseline 2025-12-03,Inspection: verify agent documents labview-icon-api-handshake.json artifact.,System
OLLAMA-AGENT-021,10.6 Ollama Executor Reference Documentation,The ollama-executor agent SHALL include reference links to ADR and testing documentation.,Interface,Medium,Inspection,Inspection,Agent documentation includes reference section with links to ADR-2025-017 and TESTING.md.,Review agent markdown for reference documentation links.,Agent markdown excerpt showing reference documentation links.,Automation QA (Agent),CI Integration,Completed,2025-12-03,ADR-2025-022-ollama-executor-custom-agent.md; .github/agents/ollama-executor.agent.md,ADR-2025-022-ollama-executor-custom-agent.md; .github/agents/ollama-executor.agent.md,docs/adr/ADR-2025-017-ollama-locked-executor.md; scripts/ollama-executor/TESTING.md,Documents reference materials for deeper understanding.,Enables users to understand design decisions and testing approach.,Risk: users lack context without reference links; mitigated by documentation.,Assumes ADR and TESTING.md documents exist and are current.,Reference paths SHALL be relative to repository root.,1 | hash=agent-ref-021 | Baseline 2025-12-03,Inspection: verify agent includes ADR and testing documentation references.,System
OLLAMA-AGENT-022,10.7 Interactive Real LabVIEW Build,"The ollama-executor agent SHALL document the capability to prompt users for LabVIEW version (e.g., 2021, 2023, 2024, 2025) and bitness (32 or 64) before initiating a real build.",Functional/Performance,High,Inspection,Inspection,Agent documentation includes interactive build section with prompting guidance for version and bitness selection.,Review agent markdown for interactive build section showing user prompting workflow.,Agent markdown excerpt showing version/bitness prompting guidance.,Automation QA (Agent),CI Integration,Completed,2025-12-03,ADR-2025-022-ollama-executor-custom-agent.md; .github/agents/ollama-executor.agent.md,ADR-2025-022-ollama-executor-custom-agent.md; .github/agents/ollama-executor.agent.md,scripts/labview/vipb-bump-worktree.ps1,Documents interactive workflow for real LabVIEW builds.,Enables agent to collect user preferences before modifying build configuration.,Risk: wrong version/bitness selected; mitigated by explicit user confirmation.,Assumes user knows which LabVIEW versions are installed on the runner.,Supported versions: 2021-2025; bitness: 32 or 64.,1 | hash=agent-prompt-022 | Baseline 2025-12-03,Inspection: verify agent documents user prompting for version and bitness.,System
OLLAMA-AGENT-023,10.7 Interactive Real LabVIEW Build,"The ollama-executor agent SHALL document the capability to modify the VIPB file to target a specific LabVIEW version and bitness using vipb-bump-worktree.ps1 or ModifyVIPBDisplayInfo.ps1.",Functional/Performance,High,Inspection,Inspection,Agent documentation includes VIPB modification commands with version and bitness parameters.,Review agent markdown for VIPB modification section showing script usage.,Agent markdown excerpt showing VIPB modification commands.,Automation QA (Agent),CI Integration,Completed,2025-12-03,ADR-2025-022-ollama-executor-custom-agent.md; .github/agents/ollama-executor.agent.md,ADR-2025-022-ollama-executor-custom-agent.md; .github/agents/ollama-executor.agent.md,scripts/labview/vipb-bump-worktree.ps1; scripts/modify-vipb-display-info/ModifyVIPBDisplayInfo.ps1,Documents VIPB modification for targeting specific LabVIEW configurations.,Enables agent to configure builds for user-specified LabVIEW targets.,Risk: VIPB corruption; mitigated by backup creation in scripts.,Assumes VIPB file exists at Tooling/deployment/seed.vipb.,VIPB SHALL be valid XML; backup created before modification.,1 | hash=agent-vipb-023 | Baseline 2025-12-03,Inspection: verify agent documents VIPB modification scripts.,System
OLLAMA-AGENT-024,10.7 Interactive Real LabVIEW Build,"The ollama-executor agent SHALL document the capability to trigger a real LabVIEW source distribution build after VIPB modification using Build_Source_Distribution.ps1.",Functional/Performance,High,Inspection,Inspection,Agent documentation includes source distribution build command with version and bitness parameters following VIPB modification.,Review agent markdown for build triggering section showing Build_Source_Distribution.ps1 usage.,Agent markdown excerpt showing build command after VIPB modification.,Automation QA (Agent),CI Integration,Completed,2025-12-03,ADR-2025-022-ollama-executor-custom-agent.md; .github/agents/ollama-executor.agent.md,ADR-2025-022-ollama-executor-custom-agent.md; .github/agents/ollama-executor.agent.md,scripts/build-source-distribution/Build_Source_Distribution.ps1,Documents build triggering after VIPB configuration.,Enables agent to complete the build workflow end-to-end.,Risk: build fails if LabVIEW not installed; mitigated by prerequisite documentation.,Assumes Windows runner with matching LabVIEW version installed.,LabVIEW SHALL be installed and licensed on the build machine.,1 | hash=agent-build-024 | Baseline 2025-12-03,Inspection: verify agent documents Build_Source_Distribution.ps1 triggering.,System
OLLAMA-AGENT-025,10.7 Interactive Real LabVIEW Build,The ollama-executor agent SHALL document prerequisites for real LabVIEW builds including Windows runner and LabVIEW installation requirements.,Process,High,Inspection,Inspection,Agent documentation includes important notes section listing Windows and LabVIEW installation requirements for real builds.,Review agent markdown for real build prerequisites section.,Agent markdown excerpt showing real build prerequisites.,Automation QA (Agent),CI Integration,Completed,2025-12-03,ADR-2025-022-ollama-executor-custom-agent.md; .github/agents/ollama-executor.agent.md,ADR-2025-022-ollama-executor-custom-agent.md; .github/agents/ollama-executor.agent.md,LabVIEW installation requirements,Documents prerequisites to prevent build failures on unsupported configurations.,Prevents users from attempting real builds on incompatible systems.,Risk: users attempt builds without prerequisites; mitigated by clear documentation.,Assumes documentation clearly states Windows and LabVIEW requirements.,Real builds cannot run on Linux/macOS or without LabVIEW.,1 | hash=agent-reqs-025 | Baseline 2025-12-03,Inspection: verify agent documents real build prerequisites.,System
OLLAMA-AGENT-026,10.8 Simulation Mode Evidence,"The ollama-executor agent SHALL be validated in simulation mode demonstrating end-to-end build workflow execution without real LabVIEW, producing stub artifacts and exit code 0.",Functional/Performance,High,Test,Test,"Simulation mode test completes with exit code 0; stub artifacts are created when OLLAMA_SIM_CREATE_ARTIFACTS=true; log output shows [SIMULATION MODE ACTIVE] marker.",Run Test-SimulationMode.ps1 with OLLAMA_EXECUTOR_MODE=sim and verify all tests pass with artifacts created.,Test output showing simulation mode execution with artifact creation and exit code 0.,Automation QA (Agent),CI Integration,Completed,2025-12-03,scripts/ollama-executor/Test-SimulationMode.ps1,ADR-2025-022-ollama-executor-custom-agent.md; .github/agents/ollama-executor.agent.md,Drive-Ollama-Executor.ps1 simulation mode,Validates agent can drive builds in simulation mode for CI/testing.,Enables testing of build workflow without LabVIEW installation.,Risk: simulation mode diverges from real behavior; mitigated by parallel testing.,Assumes Test-SimulationMode.ps1 covers key simulation scenarios.,Simulation mode SHALL NOT invoke real LabVIEW processes.,1 | hash=agent-sim-026 | Baseline 2025-12-03,Test: run Test-SimulationMode.ps1 and verify all tests pass.,System
